title,text,genres
Book Title 519,"This is a sample text of the book, providing a brief overview of its content and themes.","contemporary, chick-lit, spirituality"
Book Title 406,"This is a sample text of the book, providing a brief overview of its content and themes.",paranormal
Book Title 369,"This is a sample text of the book, providing a brief overview of its content and themes.",spirituality
Book Title 980,"This is a sample text of the book, providing a brief overview of its content and themes.",business
Book Title 545,"This is a sample text of the book, providing a brief overview of its content and themes.",history
Book Title 613,"This is a sample text of the book, providing a brief overview of its content and themes.",read-for-school
Book Title 80,"This is a sample text of the book, providing a brief overview of its content and themes.",sociology
Book Title 580,"This is a sample text of the book, providing a brief overview of its content and themes.",supernatural
Book Title 644,"This is a sample text of the book, providing a brief overview of its content and themes.","war, 20th-century, science-fiction"
Book Title 2,"This is a sample text of the book, providing a brief overview of its content and themes.","dystopia, urban-fantasy, young-adult"
Book Title 83,"This is a sample text of the book, providing a brief overview of its content and themes.","picture-books, drama, urban-fantasy"
Book Title 927,"This is a sample text of the book, providing a brief overview of its content and themes.","family, religion, unfinished"
Book Title 2,"This is a sample text of the book, providing a brief overview of its content and themes.","classics, horror, science-fiction"
Book Title 74,"This is a sample text of the book, providing a brief overview of its content and themes.",american
Book Title 708,"This is a sample text of the book, providing a brief overview of its content and themes.","college, science, new-adult"
Book Title 380,"This is a sample text of the book, providing a brief overview of its content and themes.","fantasy, supernatural"
Book Title 691,"This is a sample text of the book, providing a brief overview of its content and themes.","science, psychology, literary-fiction"
Book Title 339,"This is a sample text of the book, providing a brief overview of its content and themes.","poetry, travel"
Book Title 364,"This is a sample text of the book, providing a brief overview of its content and themes.","paranormal-romance, fantasy, short-stories"
Book Title 776,"This is a sample text of the book, providing a brief overview of its content and themes.",graphic-novels
Book Title 484,"This is a sample text of the book, providing a brief overview of its content and themes.","supernatural, adult"
Book Title 873,"This is a sample text of the book, providing a brief overview of its content and themes.",20th-century
Book Title 506,"This is a sample text of the book, providing a brief overview of its content and themes.",childrens
Book Title 271,"This is a sample text of the book, providing a brief overview of its content and themes.",unfinished
Book Title 619,"This is a sample text of the book, providing a brief overview of its content and themes.","relationships, business, read-for-school"
Book Title 298,"This is a sample text of the book, providing a brief overview of its content and themes.",classics
Book Title 109,"This is a sample text of the book, providing a brief overview of its content and themes.",supernatural
Book Title 678,"This is a sample text of the book, providing a brief overview of its content and themes.","thriller, graphic-novels, family"
Book Title 303,"This is a sample text of the book, providing a brief overview of its content and themes.",horror
Book Title 343,"This is a sample text of the book, providing a brief overview of its content and themes.","mystery, humor"
Book Title 995,"This is a sample text of the book, providing a brief overview of its content and themes.",short-stories
Book Title 246,"This is a sample text of the book, providing a brief overview of its content and themes.",mystery
Book Title 31,"This is a sample text of the book, providing a brief overview of its content and themes.",literary-fiction
Book Title 864,"This is a sample text of the book, providing a brief overview of its content and themes.",philosophy
Book Title 115,"This is a sample text of the book, providing a brief overview of its content and themes.",graphic-novels
Book Title 381,"This is a sample text of the book, providing a brief overview of its content and themes.",childrens
Book Title 308,"This is a sample text of the book, providing a brief overview of its content and themes.","memoir, historical-fiction, mythology"
Book Title 561,"This is a sample text of the book, providing a brief overview of its content and themes.","new-adult, politics"
Book Title 796,"This is a sample text of the book, providing a brief overview of its content and themes.",sociology
Book Title 85,"This is a sample text of the book, providing a brief overview of its content and themes.","college, school, drama"
Book Title 562,"This is a sample text of the book, providing a brief overview of its content and themes.","short-stories, roman"
Book Title 100,"This is a sample text of the book, providing a brief overview of its content and themes.","science, family, politics"
Book Title 880,"This is a sample text of the book, providing a brief overview of its content and themes.","biography, non-fiction"
Book Title 577,"This is a sample text of the book, providing a brief overview of its content and themes.","young-adult, adult"
Book Title 910,"This is a sample text of the book, providing a brief overview of its content and themes.","historical, history, sociology"
Book Title 103,"This is a sample text of the book, providing a brief overview of its content and themes.",classics
Book Title 254,"This is a sample text of the book, providing a brief overview of its content and themes.","coming-of-age, thriller, relationships"
Book Title 919,"This is a sample text of the book, providing a brief overview of its content and themes.","roman, politics, writing"
Book Title 522,"This is a sample text of the book, providing a brief overview of its content and themes.","theology, paranormal, memoir"
Book Title 698,"This is a sample text of the book, providing a brief overview of its content and themes.",short-stories
Book Title 376,"This is a sample text of the book, providing a brief overview of its content and themes.","contemporary, novels, urban-fantasy"
Book Title 423,"This is a sample text of the book, providing a brief overview of its content and themes.",21st-century
Book Title 239,"This is a sample text of the book, providing a brief overview of its content and themes.","chick-lit, politics, thriller"
Book Title 80,"This is a sample text of the book, providing a brief overview of its content and themes.",relationships
Book Title 516,"This is a sample text of the book, providing a brief overview of its content and themes.",crime
Book Title 483,"This is a sample text of the book, providing a brief overview of its content and themes.","thriller, new-adult"
Book Title 882,"This is a sample text of the book, providing a brief overview of its content and themes.",cookbooks
Book Title 845,"This is a sample text of the book, providing a brief overview of its content and themes.","sociology, college, family"
Book Title 976,"This is a sample text of the book, providing a brief overview of its content and themes.","science-fiction, chick-lit"
Book Title 504,"This is a sample text of the book, providing a brief overview of its content and themes.","chick-lit, historical, business"
Book Title 540,"This is a sample text of the book, providing a brief overview of its content and themes.","science, mystery"
Book Title 812,"This is a sample text of the book, providing a brief overview of its content and themes.",magic
Book Title 777,"This is a sample text of the book, providing a brief overview of its content and themes.","literary-fiction, paranormal-romance, psychology"
Book Title 619,"This is a sample text of the book, providing a brief overview of its content and themes.","theology, family"
Book Title 256,"This is a sample text of the book, providing a brief overview of its content and themes.","suspense, fiction"
Book Title 420,"This is a sample text of the book, providing a brief overview of its content and themes.",science
Book Title 538,"This is a sample text of the book, providing a brief overview of its content and themes.",contemporary
Book Title 805,"This is a sample text of the book, providing a brief overview of its content and themes.",writing
Book Title 429,"This is a sample text of the book, providing a brief overview of its content and themes.","memoir, graphic-novels"
Book Title 497,"This is a sample text of the book, providing a brief overview of its content and themes.",dystopia
Book Title 308,"This is a sample text of the book, providing a brief overview of its content and themes.","urban-fantasy, childrens"
Book Title 875,"This is a sample text of the book, providing a brief overview of its content and themes.","fantasy, contemporary, relationships"
Book Title 352,"This is a sample text of the book, providing a brief overview of its content and themes.","high-school, dystopia"
Book Title 576,"This is a sample text of the book, providing a brief overview of its content and themes.",chick-lit
Book Title 40,"This is a sample text of the book, providing a brief overview of its content and themes.",philosophy
Book Title 660,"This is a sample text of the book, providing a brief overview of its content and themes.","theology, coming-of-age, american"
Book Title 590,"This is a sample text of the book, providing a brief overview of its content and themes.","adult, contemporary"
Book Title 795,"This is a sample text of the book, providing a brief overview of its content and themes.","religion, crime"
Book Title 56,"This is a sample text of the book, providing a brief overview of its content and themes.","speculative-fiction, short-stories"
Book Title 497,"This is a sample text of the book, providing a brief overview of its content and themes.","non-fiction, dark, short-stories"
Book Title 387,"This is a sample text of the book, providing a brief overview of its content and themes.",philosophy
Book Title 684,"This is a sample text of the book, providing a brief overview of its content and themes.","contemporary, plays, vampires"
Book Title 374,"This is a sample text of the book, providing a brief overview of its content and themes.",crime
Book Title 811,"This is a sample text of the book, providing a brief overview of its content and themes.","fiction, novels, college"
Book Title 225,"This is a sample text of the book, providing a brief overview of its content and themes.",cookbooks
Book Title 508,"This is a sample text of the book, providing a brief overview of its content and themes.","poetry, paranormal"
Book Title 739,"This is a sample text of the book, providing a brief overview of its content and themes.","biography, dystopia, philosophy"
Book Title 404,"This is a sample text of the book, providing a brief overview of its content and themes.",historical
Book Title 634,"This is a sample text of the book, providing a brief overview of its content and themes.",science-fiction
Book Title 582,"This is a sample text of the book, providing a brief overview of its content and themes.","chick-lit, drama"
Book Title 56,"This is a sample text of the book, providing a brief overview of its content and themes.","mystery, roman, graphic-novels"
Book Title 302,"This is a sample text of the book, providing a brief overview of its content and themes.",vampires
Book Title 106,"This is a sample text of the book, providing a brief overview of its content and themes.",politics
Book Title 390,"This is a sample text of the book, providing a brief overview of its content and themes.","paranormal-romance, family"
Book Title 139,"This is a sample text of the book, providing a brief overview of its content and themes.","spirituality, theology"
Book Title 392,"This is a sample text of the book, providing a brief overview of its content and themes.",adult
Book Title 385,"This is a sample text of the book, providing a brief overview of its content and themes.","mythology, picture-books, 21st-century"
Book Title 307,"This is a sample text of the book, providing a brief overview of its content and themes.",relationships
Book Title 359,"This is a sample text of the book, providing a brief overview of its content and themes.","action, sociology"
Book Title 810,"This is a sample text of the book, providing a brief overview of its content and themes.","roman, dystopia"
Book Title 811,"This is a sample text of the book, providing a brief overview of its content and themes.",psychology
Book Title 434,"This is a sample text of the book, providing a brief overview of its content and themes.","21st-century, non-fiction, horror"
Book Title 279,"This is a sample text of the book, providing a brief overview of its content and themes.","biography, graphic-novels, philosophy"
Book Title 818,"This is a sample text of the book, providing a brief overview of its content and themes.","christian, magic"
Book Title 691,"This is a sample text of the book, providing a brief overview of its content and themes.","philosophy, drama, family"
Book Title 406,"This is a sample text of the book, providing a brief overview of its content and themes.","history, paranormal-romance, action"
Book Title 657,"This is a sample text of the book, providing a brief overview of its content and themes.","family, college, biography"
Book Title 362,"This is a sample text of the book, providing a brief overview of its content and themes.",writing
Book Title 599,"This is a sample text of the book, providing a brief overview of its content and themes.","mystery-thriller, speculative-fiction"
Book Title 897,"This is a sample text of the book, providing a brief overview of its content and themes.","mystery-thriller, dystopia, amazon"
Book Title 168,"This is a sample text of the book, providing a brief overview of its content and themes.",humor
Book Title 329,"This is a sample text of the book, providing a brief overview of its content and themes.",philosophy
Book Title 917,"This is a sample text of the book, providing a brief overview of its content and themes.",dark
Book Title 21,"This is a sample text of the book, providing a brief overview of its content and themes.",spirituality
Book Title 574,"This is a sample text of the book, providing a brief overview of its content and themes.","contemporary, essays, poetry"
Book Title 503,"This is a sample text of the book, providing a brief overview of its content and themes.","novels, historical-fiction"
Book Title 723,"This is a sample text of the book, providing a brief overview of its content and themes.","suspense, science, fantasy"
Book Title 778,"This is a sample text of the book, providing a brief overview of its content and themes.","business, historical-fiction"
Book Title 700,"This is a sample text of the book, providing a brief overview of its content and themes.","historical, picture-books, theology"
Book Title 919,"This is a sample text of the book, providing a brief overview of its content and themes.",psychology
Book Title 723,"This is a sample text of the book, providing a brief overview of its content and themes.",literary-fiction
Book Title 280,"This is a sample text of the book, providing a brief overview of its content and themes.",relationships
Book Title 343,"This is a sample text of the book, providing a brief overview of its content and themes.",science-fiction
Book Title 859,"This is a sample text of the book, providing a brief overview of its content and themes.","christian, fiction"
Book Title 437,"This is a sample text of the book, providing a brief overview of its content and themes.",biography
Book Title 229,"This is a sample text of the book, providing a brief overview of its content and themes.","urban-fantasy, college, sociology"
Book Title 925,"This is a sample text of the book, providing a brief overview of its content and themes.","christian, high-school"
Book Title 791,"This is a sample text of the book, providing a brief overview of its content and themes.",thriller
Book Title 670,"This is a sample text of the book, providing a brief overview of its content and themes.",urban-fantasy
Book Title 891,"This is a sample text of the book, providing a brief overview of its content and themes.",science
Book Title 456,"This is a sample text of the book, providing a brief overview of its content and themes.","high-school, supernatural"
Book Title 301,"This is a sample text of the book, providing a brief overview of its content and themes.","novels, science, politics"
Book Title 765,"This is a sample text of the book, providing a brief overview of its content and themes.",non-fiction
Book Title 40,"This is a sample text of the book, providing a brief overview of its content and themes.","cookbooks, war, relationships"
Book Title 762,"This is a sample text of the book, providing a brief overview of its content and themes.","fiction, high-school, coming-of-age"
Book Title 893,"This is a sample text of the book, providing a brief overview of its content and themes.","american, theology"
Book Title 596,"This is a sample text of the book, providing a brief overview of its content and themes.",contemporary
Book Title 770,"This is a sample text of the book, providing a brief overview of its content and themes.","crime, mythology"
Book Title 579,"This is a sample text of the book, providing a brief overview of its content and themes.",urban-fantasy
Book Title 889,"This is a sample text of the book, providing a brief overview of its content and themes.",read-for-school
Book Title 292,"This is a sample text of the book, providing a brief overview of its content and themes.","supernatural, american"
Book Title 48,"This is a sample text of the book, providing a brief overview of its content and themes.","humor, young-adult, crime"
Book Title 756,"This is a sample text of the book, providing a brief overview of its content and themes.","dystopia, relationships"
Book Title 110,"This is a sample text of the book, providing a brief overview of its content and themes.",religion
Book Title 534,"This is a sample text of the book, providing a brief overview of its content and themes.","historical-fiction, magic"
Book Title 580,"This is a sample text of the book, providing a brief overview of its content and themes.","sociology, non-fiction, young-adult"
Book Title 866,"This is a sample text of the book, providing a brief overview of its content and themes.","plays, high-school, roman"
Book Title 548,"This is a sample text of the book, providing a brief overview of its content and themes.",paranormal
Book Title 509,"This is a sample text of the book, providing a brief overview of its content and themes.","urban-fantasy, philosophy"
Book Title 444,"This is a sample text of the book, providing a brief overview of its content and themes.","philosophy, action, travel"
Book Title 146,"This is a sample text of the book, providing a brief overview of its content and themes.","vampires, speculative-fiction, magic"
Book Title 152,"This is a sample text of the book, providing a brief overview of its content and themes.",philosophy
Book Title 905,"This is a sample text of the book, providing a brief overview of its content and themes.",fiction
Book Title 484,"This is a sample text of the book, providing a brief overview of its content and themes.","philosophy, high-school, coming-of-age"
Book Title 1,"This is a sample text of the book, providing a brief overview of its content and themes.",mystery
Book Title 16,"This is a sample text of the book, providing a brief overview of its content and themes.","travel, war, plays"
Book Title 862,"This is a sample text of the book, providing a brief overview of its content and themes.",graphic-novels
Book Title 937,"This is a sample text of the book, providing a brief overview of its content and themes.","horror, history, humor"
Book Title 467,"This is a sample text of the book, providing a brief overview of its content and themes.",graphic-novels
Book Title 226,"This is a sample text of the book, providing a brief overview of its content and themes.",family
Book Title 839,"This is a sample text of the book, providing a brief overview of its content and themes.","writing, biography, childrens"
Book Title 214,"This is a sample text of the book, providing a brief overview of its content and themes.","biography, travel"
Book Title 472,"This is a sample text of the book, providing a brief overview of its content and themes.","dark, sociology, literature"
Book Title 541,"This is a sample text of the book, providing a brief overview of its content and themes.","21st-century, childrens"
Book Title 333,"This is a sample text of the book, providing a brief overview of its content and themes.","travel, politics"
Book Title 626,"This is a sample text of the book, providing a brief overview of its content and themes.","plays, suspense, science-fiction"
Book Title 208,"This is a sample text of the book, providing a brief overview of its content and themes.",psychology
Book Title 528,"This is a sample text of the book, providing a brief overview of its content and themes.",travel
Book Title 92,"This is a sample text of the book, providing a brief overview of its content and themes.",coming-of-age
